question,answer,faithfulness,answer_relevancy,context_relevancy,context_recall,context_precision
"Tình huống: Anh Trung là một người dân sống tại thành phố Hồ Chí Minh. Trong quá trình mở rộng đường, nhà của anh Trung bị chính quyền địa phương thu hồi và anh Trung nhận được một khoản tiền bồi thường. Tuy nhiên, anh Trung cho rằng số tiền bồi thường không đủ để mua một căn nhà mới có diện tích tương đương.Câu hỏi: Anh Trung có quyền khiếu nại về quyết định bồi thường của chính quyền địa phương không?","Có, anh Trung có quyền khiếu nại về quyết định bồi thường.  Luật quy định việc giải quyết yêu cầu bồi thường phải được thực hiện kịp thời, công khai, bình đẳng, thiện chí, trung thực, đúng pháp luật.  Nếu anh Trung cho rằng số tiền bồi thường không đủ, anh có quyền khiếu nại theo quy định của pháp luật.",0.8471943,0.85304546,0.7761716,0.8984375,0.05145413870246085
"Tình huống: Chị Lan là một giáo viên tại một trường học công lập. Trong một lần đi công tác, chị Lan bị tai nạn giao thông và phải nghỉ làm trong một thời gian dài để điều trị.Câu hỏi: Chị Lan có quyền yêu cầu nhà nước bồi thường cho khoản lương mà chị không nhận được trong thời gian nghỉ làm để điều trị không?",Điều luật cung cấp không đề cập đến quyền yêu cầu bồi thường lương của chị Lan trong trường hợp này.,0.7789758,0.7798525,0.7602727,0.9619047619047619,0.0689419795221843
"Tình huống: Anh Tú là một người lao động tại một công ty nhà nước. Trong quá trình làm việc, anh Tú bị một tai nạn lao động do lỗi của người quản lý và phải nhập viện điều trị.Câu hỏi: Anh Tú có quyền yêu cầu nhà nước bồi thường cho những chi phí điều trị do tai nạn lao động gây ra không?","Anh Tú có quyền yêu cầu người sử dụng lao động (công ty nhà nước) bồi thường chi phí điều trị do tai nạn lao động gây ra,  không phải nhà nước.",0.86828023,0.9155765,0.8156024,0.96,0.0595903165735568
Tình huống: Anh Trung muốn chứng thực bản sao hợp đồng mua bán nhà ở mà anh đã ký với bên bán. Anh Trung không rõ về quy trình và thủ tục chứng thực bản sao hợp đồng này.Câu hỏi: Anh Trung cần chuẩn bị những giấy tờ gì và thực hiện những bước nào để chứng thực bản sao hợp đồng mua bán nhà?,Anh Trung cần chuẩn bị bản chính hợp đồng mua bán nhà và bản sao chứng minh nhân dân hoặc hộ chiếu còn giá trị sử dụng.  Anh Trung mang các giấy tờ này đến cơ quan có thẩm quyền để được chứng thực bản sao hợp đồng.  Cơ quan chứng thực sẽ đối chiếu bản sao với bản chính và cấp bản sao có chứng thực nếu đầy đủ điều kiện.,0.8387727,0.8941407,0.7841625,0.8673469387755102,0.0853413654618474
Tình huống: Chị Hương muốn chứng thực chữ ký của mình trên một giấy tờ nhưng chị không biết cần mang theo những giấy tờ gì khi đi chứng thực chữ ký.Câu hỏi: Chị Hương cần mang theo những giấy tờ gì khi đi chứng thực chữ ký của mình?,"Chị Hương cần mang theo bản chính hoặc bản sao có chứng thực Giấy chứng minh nhân dân hoặc Hộ chiếu còn giá trị sử dụng và giấy tờ, văn bản mà chị sẽ ký.",0.8810674,0.75887007,0.697691,0.925,0.039445628997867806
Tình huống: Anh Tuấn muốn chứng thực sự thật việc mình là người duy nhất thừa kế tài sản của người mẹ đã mất. Anh Tuấn không biết cần làm gì để chứng thực điều này.Câu hỏi: Anh Tuấn cần làm gì để chứng thực sự thật việc mình là người duy nhất thừa kế tài sản của người mẹ đã mất?,Anh Tuấn cần xuất trình giấy chứng tử của mẹ và giấy tờ chứng minh anh là người thừa kế duy nhất theo pháp luật về thừa kế để chứng thực sự thật này.,0.79772407,0.7908799,0.7220155,0.9223300970873787,0.04924831518921721
"Tình huống: Công ty A và công ty B có một tranh chấp thương mại liên quan đến việc giao hàng trễ. Cả hai công ty đều muốn giải quyết tranh chấp thông qua trọng tài thương mại thay vì đi tới tòa án. Câu hỏi: Trong trường hợp này, làm thế nào để các công ty có thể thiết lập một hợp đồng trọng tài và những yếu tố nào cần được xem xét khi chọn một trọng tài?","Để thiết lập hợp đồng trọng tài, Công ty A và Công ty B cần thỏa thuận bằng văn bản về việc giải quyết tranh chấp bằng trọng tài, bao gồm việc chỉ định trọng tài viên hoặc cơ quan trọng tài.  Khi chọn trọng tài, cần xem xét kinh nghiệm, chuyên môn của trọng tài viên trong lĩnh vực liên quan đến tranh chấp và sự độc lập, khách quan của trọng tài viên hoặc cơ quan trọng tài.",0.8677262,0.8715912,0.7231572,0.9285714285714286,0.07065217391304347
"Tình huống: Công ty C đã ký một hợp đồng trọng tài với công ty D. Tuy nhiên, sau khi quyết định của trọng tài được đưa ra, công ty C không đồng ý với kết quả. Câu hỏi: Công ty C có quyền kháng cáo quyết định của trọng tài không? Nếu có, quy trình kháng cáo sẽ diễn ra như thế nào?","Công ty C không có quyền kháng cáo quyết định của trọng tài.  Phán quyết trọng tài là chung thẩm và có hiệu lực kể từ ngày ban hành (Điều 37.9.LQ.61, khoản 5).  Tuy nhiên, Công ty C có thể yêu cầu Tòa án hủy bỏ phán quyết trọng tài nếu phán quyết đó vi phạm pháp luật theo quy định tại Điều 68 Luật Trung Tâm Trọng Tài và Giải quyết Tranh Chấp Thương mại (Điều 37.9.NQ.1.14).",0.83569694,0.84885854,0.76935226,0.9278350515463918,0.04059539918809202
"Tình huống: Công ty E và công ty F có một tranh chấp thương mại và đã quyết định giải quyết thông qua trọng tài. Tuy nhiên, trong quá trình trọng tài, một trong những bên đã vi phạm các quy định của trọng tài. Câu hỏi: Những hậu quả pháp lý nào có thể xảy ra khi một bên vi phạm các quy định của trọng tài trong quá trình giải quyết tranh chấp?","Nếu một bên vi phạm quy định của trọng tài, bên đó có thể mất quyền phản đối tại trọng tài hoặc tại tòa án đối với những vi phạm đã biết, tùy thuộc vào việc có tuân thủ thời hạn phản đối theo Luật Trung Tâm Thương mại hoặc thỏa thuận của các bên hay không.  Nếu mất quyền phản đối, bên đó không được khiếu nại quyết định của Hội đồng trọng tài hoặc yêu cầu hủy phán quyết trọng tài về những vi phạm đó. Tuy nhiên, tòa án vẫn có thể xem xét các vi phạm khác để quyết định chấp nhận hay không chấp nhận yêu cầu hủy phán quyết.",0.83837533,0.7912109,0.74561375,0.9572649572649573,0.05185185185185185
"Tình huống: Một quản tài viên đã tự ý thay đổi nội dung của một bản di chúc mà họ phát hiện trong quá trình chuẩn bị cho một tang lễ, với ý định giúp đỡ một người thân của người đã mất. Câu hỏi: Việc làm này có vi phạm pháp luật không và hậu quả pháp lý có thể là gì?","Việc làm của quản tài viên là vi phạm pháp luật, cụ thể là vi phạm về hành vi làm giả, biến dạng di chúc.  Hậu quả pháp lý có thể là bị xử lý hình sự tùy thuộc vào mức độ vi phạm và thiệt hại gây ra.",0.7563778,0.7558432,0.7586923,0.9139784946236559,0.03968253968253968
